full_name,title,pages_count,publisher,year,cover,raw_title
Клайв Баркер,Книга крови,477,"""КЭДМЭН""",1994,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1021_compressed.jpg,"Баркер, Клайв. - Книга крови. - 477 с. - ""КЭДМЭН"", 1994"
Подвиг: Платонов В,"Одухотворенные люди; Вайнер А., Вайнер Г",0,"""Молодая гвардия""",1983,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1042_compressed.jpg,"Подвиг: Платонов В. - Одухотворенные люди; Вайнер А., Вайнер Г. - Эра милосердия. - ""Молодая гвардия"", 1983"
Александр С Пушкин,Повести Покойного Ивана Петровича Белкина; Дубровский; Капитанская дочка,239,"""Правда"", Москва",1977,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1013_compressed.jpg,"Пушкин, Александр С. - Повести Покойного Ивана Петровича Белкина; Дубровский; Капитанская дочка. - 239 с. - ""Правда"", Москва, 1977"
Pavel Martin; Lach Dubanek,Mala kniha o velkych bunkrech,294,Mlada fronta,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1211_compressed.jpg,"Dubanek, Martin; Lach, Pavel. - Mala kniha o velkych bunkrech. - 294 с. - Mlada fronta, 2013"
Колин Маккалой,Поющие в терновике,656,Б.: Кыргызстан,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1300_compressed.jpg,"Маккалой, Колин. - Поющие в терновике. - 656 с. - Б.: Кыргызстан, 1992"
Михаил А Шолохов,Поднятая целина,695,Гос. изд-во худож. лит.,1963,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1006_compressed.jpg,"Шолохов, Михаил А. - Поднятая целина. - 695 с. - Гос. изд-во худож. лит., 1963"
Микки Спиллейн,Суд - это я,448,Запорожье: Дайнэмик,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1068_compressed.jpg,"Спиллейн, Микки. - Суд - это я. - 448 с. - Запорожье: Дайнэмик, 1992"
Джеймс Ф Купер,Последний из могикан,267,Запорожье: Рос. культура,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1178_compressed.jpg,"Купер, Джеймс Ф. - Последний из могикан. - 267 с. - Запорожье: Рос. культура, 1992"
Джеймс Ф Купер,Прерия,319,Запорожье: Рос. культура,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1179_compressed.jpg,"Купер, Джеймс Ф. - Прерия. - 319 с. - Запорожье: Рос. культура, 1992"
Клиффорд Саймак,Кольцо вокруг Солнца; Заповедник гоблинов,336,Запорожье: Рос. культура,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1067_compressed.jpg,"Саймак, Клиффорд. - Кольцо вокруг Солнца; Заповедник гоблинов. - 336 с. - Запорожье: Рос. культура, 1992"
Роджер Желязны,"Хроники Амбера, т. 1-2",351,Запорожье: Рос. культура,1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1129_compressed.jpg,"Желязны, Роджер. - Хроники Амбера, т. 1-2. - 351 с., 448 с. - Запорожье: Рос. культура, 1993"
Клиффорд Саймак,Пересадочная станция; Снова и снова,384,Запорожье: Рос. культура,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1069_compressed.jpg,"Саймак, Клиффорд. - Пересадочная станция; Снова и снова. - 384 с. - Запорожье: Рос. культура, 1992"
Клиффорд Саймак,Что может быть проще времени?; Город,392,Запорожье: Рос. культура,1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1070_compressed.jpg,"Саймак, Клиффорд. - Что может быть проще времени?; Город. - 392 с. - Запорожье: Рос. культура, 1993"
Морис Дрюон,Железный король; Узница Шато-Гайара,432,Запорожье: Российская культура,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1096_compressed.jpg,"Дрюон, Морис. - Железный король; Узница Шато-Гайара. - 432 с. - Запорожье: Российская культура, 1992"
Джейм Чейз,Гроб из Гонкога; Гриф-птица терпеливая; Положите её среди лилий,432,Запорожье: Российская культура,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1099_compressed.jpg,"Чейз, Джейм. - Гроб из Гонкога; Гриф-птица терпеливая; Положите её среди лилий. - 432 с. - Запорожье: Российская культура, 1992"
Эдгар Берроуз,Тарзан: Приемыш обезьян; Возвращение в джунгли,368,Запорожье: Росстйская культура,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1059_compressed.jpg,"Берроуз, Эдгар. - Тарзан: Приемыш обезьян; Возвращение в джунгли. - 368 с. - Запорожье: Росстйская культура, 1992"
Самуил Я Маршак,Про всё на свете,448,Кишинев: Лит. артистикэ,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1003_compressed.jpg,"Маршак, Самуил Я. - Про всё на свете. - 448 с. - Кишинев: Лит. артистикэ, 1987"
Джеймс Ф Купер,"Зверобой, или Первая тропа войны",319,Кишинев: Лумина,1982,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1312_compressed.jpg,"Купер, Джеймс Ф. - Зверобой, или Первая тропа войны. - 319 с. - Кишинев: Лумина, 1982"
Леонид Соловьев,Повесть о Ходже Насреддине,576,Л.: Лениздат,1980,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1084_compressed.jpg,"Соловьев, Леонид. - Повесть о Ходже Насреддине. - 576 с. - Л.: Лениздат, 1980"
Генрих Сенкевич,Камо глядеши; Ганя,703,Лениздат,1990,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1126_compressed.jpg,"Сенкевич, Генрих. - Камо глядеши; Ганя. - 703 с. - Лениздат, 1990"
Эдгар Берроуз,Закоренелый Преступник,155,"М: Физкультура и спорт, 1991.",1991,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1015_compressed.jpg,"Берроуз, Эдгар. - Закоренелый Преступник. - 155 с. - М: Физкультура и спорт, 1991."
Эдгар Берроуз,Боксер Билли,159,"М: Физкультура и спорт, 1991.",1991,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1014_compressed.jpg,"Берроуз, Эдгар. - Боксер Билли. - 159 с. - М: Физкультура и спорт, 1991."
Роберт Ладлэм,Ультиматум Борна,736,М.; Эксмо,2007,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1076_compressed.jpg,"Ладлэм, Роберт. - Ультиматум Борна. - 736 с. - М.; Эксмо, 2007"
Дэвид Моррелл,Рэмбо,447,"М.: ""Белая Русь""",1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1090_compressed.jpg,"Моррелл, Дэвид. - Рэмбо. - 447 с. - М.: ""Белая Русь"", 1993"
Петр Р Ляхов,Рекорды человечества,160,"М.: ""Издательство АСТ"", ""Индательство Астрель""",2001,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1050_compressed.jpg,"Ляхов, Петр Р. - Рекорды человечества. - 160 с. - М.: ""Издательство АСТ"", ""Индательство Астрель"", 2001"
Артур К Дойл,Белый Отряд; Рассказы,446,"М.: ""Правда""",1966,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1048_compressed.jpg,"Дойл, Артур К. - Белый Отряд; Рассказы. - 446 с. - М.: ""Правда"", 1966"
Дмитрий Письменный,Конспект лекций по высшей математике,608,М.: Айрин-пресс,2009,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1159_compressed.jpg,"Письменный, Дмитрий. - Конспект лекций по высшей математике. - 608 с. - М.: Айрин-пресс, 2009"
Д Розенталь,Справочник по правописанию и литературной правке,368,М.: Айрис-пресс,2008,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1301_compressed.jpg,"Розенталь, Д. - Справочник по правописанию и литературной правке. - 368 с. - М.: Айрис-пресс, 2008"
Эдгар А По,Полное собрание сочинений в одном томе,1101,М.: Альфа-книга,2009,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1196_compressed.jpg,"По, Эдгар А. - Полное собрание сочинений в одном томе. - 1101 с. - М.: Альфа-книга, 2009"
Артур К Дойл,Полное собрание сочинений о Шерлоке Холмсе в одном томе,1150,М.: Альфа-книга,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1198_compressed.jpg,"Дойл, Артур К. - Полное собрание сочинений о Шерлоке Холмсе в одном томе. - 1150 с. - М.: Альфа-книга, 2010"
Александр Дюма,Жозеф Бальзамо,1165,М.: Альфа-книга,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1197_compressed.jpg,"Дюма, Александр. - Жозеф Бальзамо. - 1165 с. - М.: Альфа-книга, 2010"
Френсис С Фицджеральд,Великий Гэтсби,253,М.: АСТ,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1204_compressed.jpg,"Фицджеральд, Френсис С. - Великий Гэтсби. - 253 с. - М.: АСТ, 2014"
Джон Р Толкиен,Дети Хурина,320,М.: АСТ,2015,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1314_compressed.jpg,"Толкиен, Джон Р. - Дети Хурина. - 320 с. - М.: АСТ, 2015"
Джон Р Толкиен,Сильмариллион,414,М.: АСТ,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1164_compressed.jpg,"Толкиен, Джон Р. - Сильмариллион. - 414 с. - М.: АСТ, 2014"
Эдуард Тополь,Московский полет,445,М.: АСТ,2004,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1086_compressed.jpg,"Тополь, Эдуард. - Московский полет. - 445 с. - М.: АСТ, 2004"
Джек Макдевит,Военный талант,464,М.: АСТ,1995,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1106_compressed.jpg,"Макдевит, Джек. - Военный талант. - 464 с. - М.: АСТ, 1995"
Стивен Кинг,Жребий,477,М.: АСТ,2007,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1038_compressed.jpg,"Кинг, Стивен. - Жребий. - 477 с. - М.: АСТ, 2007"
Дэн Браун,Точка обмана,508,М.: АСТ,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1203_compressed.jpg,"Браун, Дэн. - Точка обмана. - 508 с. - М.: АСТ, 2010"
Дэн Браун,Код да Винчи,542,М.: АСТ,2005,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1201_compressed.jpg,"Браун, Дэн. - Код да Винчи. - 542 с. - М.: АСТ, 2005"
Дэн Браун,Инферно,543,М.: АСТ,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1202_compressed.jpg,"Браун, Дэн. - Инферно. - 543 с. - М.: АСТ, 2013"
Анджей Сапковский,Крещение огнем; Башня ласточки,613,М.: АСТ,2008,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1073_compressed.jpg,"Сапковский, Анджей. - Крещение огнем; Башня ласточки. - 613 с. - М.: АСТ, 2008"
